term,category,type,notes;;
gg,GIRIA,word,giria neutra de fim de partida (good game);;
feed,GIRIA,word,giria descritiva (morrer muito sem ganho ao adversario);;
feedar,GIRIA,word,variante verbal de feed;;
carry,GIRIA,word,jogador que carrega o time;;
carregar,GIRIA,word,sentido de carry em portugues;;
afk,GIRIA,word,away from keyboard;;
smurf,GIRIA,word,conta secundaria de jogador experiente;;
clutch,GIRIA,word,jogada decisiva em desvantagem;;
nerf,GIRIA,word,reducao de poder de algo no jogo;;
buff,GIRIA,word,aumento de poder de algo no jogo;;
lag,GIRIA,word,atraso de conexao;;
ping,GIRIA,word,latencia de conexao;;
main,GIRIA,word,personagem/posicao preferida do jogador;;
ranqueada,GIRIA,word,modo competitivo;;
elo,GIRIA,word,nivel de classificacao competitiva;;
throw,GIRIA,word,perder partida de forma evitavel (giria descritiva neutra);;
throwar,GIRIA,word,variante verbal de throw;;
gank,GIRIA,word,emboscada em equipe;;
respawn,GIRIA,word,reaparecimento apos morte;;
kdr,GIRIA,word,kill death ratio;;
mvp,GIRIA,word,melhor jogador da partida;;
ace,GIRIA,word,eliminar todo o time adversario;;
tilt,GIRIA,word,estado de frustracao/tomada de decisao ruim;;
tiltado,GIRIA,word,variante adjetiva de tilt;;
pickban,GIRIA,word,fase de escolha e banimento de personagens;;
farm,GIRIA,word,acumular recursos/experiencia;;
farmar,GIRIA,word,variante verbal de farm;;
jungle,GIRIA,word,rota/posicao de jogo (selva);;
lane,GIRIA,word,rota de jogo;;
mid,GIRIA,word,rota central;;
support,GIRIA,word,papel de suporte;;
ult,GIRIA,word,habilidade definitiva;;
combo,GIRIA,word,sequencia de habilidades/golpes;;
hitbox,GIRIA,word,area de colisao do personagem;;
fps,GIRIA,word,quadros por segundo / genero de jogo de tiro;;
dpi,GIRIA,word,sensibilidade do mouse;;
hype,GIRIA,word,expectativa/entusiasmo elevado;;
hypado,GIRIA,word,variante adjetiva de hype;;
clip,GIRIA,word,trecho gravado de gameplay;;
clipar,GIRIA,word,variante verbal de clip;;
nutella,GIRIA,word,giria de comunidade (jogador habilidoso; uso ironico);
bugado,GIRIA,word,comportamento inesperado por erro de software;;
default,GIRIA,word,configuracao padrao;;
spawn,GIRIA,word,ponto de surgimento no mapa;;
headshot,GIRIA,word,acerto na cabeca;;
wallbang,GIRIA,word,acerto atraves de parede;;
retake,GIRIA,word,retomada de area no jogo;;
defuse,GIRIA,word,desarmar bomba no jogo;;
oneshot,GIRIA,word,eliminacao com um unico golpe;;
snipe,GIRIA,word,abate a longa distancia;;
sniper,GIRIA,word,arma/jogador especializado em longa distancia;;
camper,GIRIA,word,jogador que fica parado esperando inimigos (giria descritiva neutra);;
lobby,GIRIA,word,sala de espera antes da partida;;
squad,GIRIA,word,grupo/equipe de jogadores;;
premade,GIRIA,word,grupo formado previamente;;
